,Date,Name,Nationality,Cause of death,mountain,Year,Month,Range
455,1991-10-20 00:00:00,Gabriel Denamur,Belgium,unknown,Annapurna,1991,10,Himalaya
456,1991-10-21 00:00:00,Yuri Grebeniuk,Soviet Union,fall,Cho Oyu,1991,10,Himalaya
457,1992-04-25 00:00:00,Ang Dorje,Nepal,others,Kangchenjunga,1992,4,Himalaya
458,1992-05-02 00:00:00,Hubert Weinzierl,Germany,illness,Dhaulagiri,1992,5,Himalaya
459,1992-05-02 00:00:00,Deepak Kulkarni,India,exposure,Everest,1992,5,Himalaya
460,1992-05-02 00:00:00,Raymond Jacob,India,exposure,Everest,1992,5,Himalaya
461,1992-05-11 00:00:00,Subba Singh,Nepal,illness,Everest,1992,5,Himalaya
462,1992-05-11 00:00:00,Sanda Dumitrescu-Isaila,Romania,disappeared,Dhaulagiri,1992,5,Himalaya
463,1992-05-11 00:00:00,Taina Coliban,Romania,disappeared,Dhaulagiri,1992,5,Himalaya
464,1992-05-13 00:00:00,Wanda Rutkiewicz,Poland,unknown,Kangchenjunga,1992,5,Himalaya
465,1992-05-20 00:00:00,Philippe Monnerat,Switzerland,fall,Cho Oyu,1992,5,Himalaya
466,1992-05-23 00:00:00,Sher Singh,India,fall,Everest,1992,5,Himalaya
467,1992-05-23 00:00:00,Manabu Hoshi,Japan,disappeared,Everest,1992,5,Himalaya
468,1992-08-14 00:00:00,Adrián Benítez,Mexico,fall,K-2,1992,8,Karakorum
469,1992-10-02 00:00:00,Sylwia Dmowska,Poland,fall,Manaslu,1992,10,Himalaya
470,1992-10-03 00:00:00,Sven Vermeiren,Belgium,fall,Manaslu,1992,10,Himalaya
471,1992-10-11 00:00:00,Pierre Béghin,France,fall,Annapurna,1992,10,Himalaya
472,1993-01-15 00:00:00,Ang Tshering,Nepal,fall,Everest,1993,1,Himalaya
473,1993-04-23 00:00:00,Pasang Lhamu Sherpa,Nepal,disappeared,Everest,1993,4,Himalaya
474,1993-04-23 00:00:00,Sonam Tshering,Nepal,disappeared,Everest,1993,4,Himalaya
475,1993-05-10 00:00:00,Lobsang Tshering Bhutia,Nepal,fall,Everest,1993,5,Himalaya
476,1993-05-16 00:00:00,Nam Won-woo,South Korea,fall,Everest,1993,5,Himalaya
477,1993-05-17 00:00:00,A Jin-seob,South Korea,fall,Everest,1993,5,Himalaya
478,1993-06-15 00:00:00,Boštjan Kekec,Slovenia,altitude,K-2,1993,6,Karakorum
479,1993-07-07 00:00:00,Chun-moon Ahn,South Korea,unknown,Nanga Parbat,1993,7,Karakorum
480,1993-07-07 00:00:00,Dan Culver,Canada,fall,K-2,1993,7,Karakorum
481,1993-07-30 00:00:00,Peter Mezger,Germany,fall,K-2,1993,7,Karakorum
482,1993-07-30 00:00:00,Reinmar Joswig,Germany,fall,K-2,1993,7,Karakorum
483,1993-07-31 00:00:00,Daniel Bidner,Sweden,fall,K-2,1993,7,Karakorum
484,1993-09-29 00:00:00,Bueoung-tae Park,South Korea,fall,Shisha Pangma,1993,9,Himalaya
485,1993-10-05 00:00:00,Karl Henize,United States,others,Everest,1993,10,Himalaya
486,1993-10-06 00:00:00,Gary Ball,New Zealand,altitude,Dhaulagiri,1993,10,Himalaya
487,1993-10-07 00:00:00,Antonio Miranda,Spain,fall,Everest,1993,10,Himalaya
488,1993-10-21 00:00:00,Igor Khmiliar,Russia,fall,Manaslu,1993,10,Himalaya
489,1993-10-22 00:00:00,Sergei Jadrychnikov,Russia,avalanche,Manaslu,1993,10,Himalaya
490,1994-01-24 00:00:00,Juan Carlos Piedra,Switzerland,fall,Cho Oyu,1994,1,Himalaya
491,1994-01-24 00:00:00,Jean-Luc Beausire,Switzerland,fall,Cho Oyu,1994,1,Himalaya
492,1994-04-06 00:00:00,Prem Thapa,Nepal,others,Everest,1994,4,Himalaya
493,1994-05-09 00:00:00,Shih Fang-Fang 'Norman',Taiwan,exposure,Everest,1994,5,Himalaya
494,1994-05-18 00:00:00,Giuseppe Vigani,Italy,fall,Everest,1994,5,Himalaya
495,1994-05-27 00:00:00,Mike Rheinberger,Australia,fall,Everest,1994,5,Himalaya
